choice1,choice2,choice3,choice4
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
haddad,alckmin,ciro,bolsonaro
